Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.81	1	0	2	-117.181
0.81	3	0	3	-75.406
0.815	1	0	2	-117.181
0.815	3	0	3	-75.406
0.82	1	0	2	-117.181
0.82	3	0	3	-75.406
0.825	1	0	2	-117.181
0.825	3	0	3	-75.406
0.83	1	0	2	-117.181
0.83	3	0	3	-75.406
0.835	1	0	2	-117.181
0.835	3	0	3	-75.406
0.84	1	0	2	-117.181
0.84	3	0	3	-75.406
0.845	1	0	2	-117.181
0.845	3	0	3	-75.406
0.85	1	0	2	-117.181
0.85	3	0	3	-75.406
0.855	1	0	2	-117.181
0.855	3	0	3	-75.406
0.856	1	0	2	-117.181
0.86	1	0	2	-117.181
0.86	3	0	3	-75.406
0.865	1	0	2	-117.181
0.865	3	0	3	-75.406
0.87	1	0	2	-117.181
0.87	3	0	3	-75.406
0.875	1	0	2	-117.181
0.875	3	0	3	-75.406
0.879	3	0	3	-75.406
0.88	1	0	2	-117.181
0.88	3	0	3	-75.406
0.885	1	0	2	-117.181
0.885	3	0	3	-75.406
0.89	1	0	2	-117.181
0.89	3	0	3	-75.406
0.895	1	0	2	-117.181
0.895	3	0	3	-75.406
0.9	1	0	2	-117.181
0.9	3	0	3	-75.406
0.905	1	0	2	-117.181
0.905	3	0	3	-75.406
0.91	1	0	2	-117.181
0.91	3	0	3	-75.406
0.915	1	0	2	-117.181
0.915	3	0	3	-75.406
0.92	1	0	2	-117.181
0.92	3	0	3	-75.406
0.925	1	0	2	-117.181
0.925	3	0	3	-75.406
0.93	1	0	2	-117.181
0.93	3	0	3	-75.406
0.935	1	0	2	-117.181
0.935	3	0	3	-75.406
0.936	1	0	2	-117.181
0.94	1	0	2	-117.181
0.94	3	0	3	-75.406
0.945	1	0	2	-117.181
0.945	3	0	3	-75.406
0.95	1	0	2	-117.181
0.95	3	0	3	-75.406
0.955	1	0	2	-117.181
0.955	3	0	3	-75.406
0.959	3	0	3	-75.406
0.96	1	0	2	-117.181
0.96	3	0	3	-75.406
0.965	1	0	2	-117.181
0.965	3	0	3	-75.406
0.97	1	0	2	-117.181
0.97	3	0	3	-75.406
0.975	1	0	2	-117.181
0.975	3	0	3	-75.406
0.98	1	0	2	-117.181
0.98	3	0	3	-75.406
0.985	1	0	2	-117.181
0.985	3	0	3	-75.406
0.99	1	0	2	-117.181
0.99	3	0	3	-75.406
0.995	1	0	2	-117.181
0.995	3	0	3	-75.406
1	1	0	2	-117.181
1	3	0	3	-75.406
1.005	1	0	2	-117.181
1.005	3	0	3	-75.406
1.01	1	0	2	-117.181
1.01	3	0	3	-75.406
1.015	1	0	2	-117.181
1.015	3	0	3	-75.406
1.016	1	0	2	-117.181
1.02	1	0	2	-117.181
1.02	3	0	3	-75.406
1.025	1	0	2	-117.181
1.025	3	0	3	-75.406
1.03	1	0	2	-117.181
1.03	3	0	3	-75.406
1.035	1	0	2	-117.181
1.035	3	0	3	-75.406
1.039	3	0	3	-75.406
1.04	1	0	2	-117.181
1.04	3	0	3	-75.406
1.045	1	0	2	-117.181
1.045	3	0	3	-75.406
1.05	1	0	2	-117.181
1.05	3	0	3	-75.406
1.055	1	0	2	-117.181
1.055	3	0	3	-75.406
1.06	1	0	2	-117.181
1.06	3	0	3	-75.406
1.065	1	0	2	-117.181
1.065	3	0	3	-75.406
1.07	1	0	2	-117.181
1.07	3	0	3	-75.406
1.075	1	0	2	-117.181
1.075	3	0	3	-75.406
1.08	1	0	2	-117.181
1.08	3	0	3	-75.406
1.085	1	0	2	-117.181
1.085	3	0	3	-75.406
1.09	1	0	2	-117.181
1.09	3	0	3	-75.406
1.095	1	0	2	-117.181
1.095	3	0	3	-75.406
1.096	1	0	2	-117.181
1.1	1	0	2	-117.181
1.1	3	0	3	-75.406
1.105	1	0	2	-117.181
1.105	3	0	3	-75.406
1.11	1	0	2	-117.181
1.11	3	0	3	-75.406
1.115	1	0	2	-117.181
1.115	3	0	3	-75.406
1.119	3	0	3	-75.406
1.12	1	0	2	-117.181
1.12	3	0	3	-75.406
1.125	1	0	2	-117.181
1.125	3	0	3	-75.406
1.13	1	0	2	-117.181
1.13	3	0	3	-75.406
1.135	1	0	2	-117.181
1.135	3	0	3	-75.406
1.14	1	0	2	-117.181
1.14	3	0	3	-75.406
1.145	1	0	2	-117.181
1.145	3	0	3	-75.406
1.15	1	0	2	-117.181
1.15	3	0	3	-75.406
1.155	1	0	2	-117.181
1.155	3	0	3	-75.406
1.16	1	0	2	-117.181
1.16	3	0	3	-75.406
1.165	1	0	2	-117.181
1.165	3	0	3	-75.406
1.17	1	0	2	-117.181
1.17	3	0	3	-75.406
1.175	1	0	2	-117.181
1.175	3	0	3	-75.406
1.176	1	0	2	-117.181
1.18	1	0	2	-117.181
1.18	3	0	3	-75.406
1.185	1	0	2	-117.181
1.185	3	0	3	-75.406
1.19	1	0	2	-117.181
1.19	3	0	3	-75.406
1.195	1	0	2	-117.181
1.195	3	0	3	-75.406
1.199	3	0	3	-75.406
1.2	1	0	2	-117.181
1.2	3	0	3	-75.406
1.205	1	0	2	-117.181
1.205	3	0	3	-75.406
1.21	1	0	2	-117.181
1.21	3	0	3	-75.406
1.215	1	0	2	-117.181
1.215	3	0	3	-75.406
1.22	1	0	2	-117.181
1.22	3	0	3	-75.406
1.225	1	0	2	-117.181
1.225	3	0	3	-75.406
1.23	1	0	2	-117.181
1.23	3	0	3	-75.406
1.235	1	0	2	-117.181
1.235	3	0	3	-75.406
1.24	1	0	2	-117.181
1.24	3	0	3	-75.406
1.245	1	0	2	-117.181
1.245	3	0	3	-75.406
1.25	1	0	2	-117.181
1.25	3	0	3	-75.406
1.255	1	0	2	-117.181
1.255	3	0	3	-75.406
1.256	1	0	2	-117.181
1.26	1	0	2	-117.181
1.26	3	0	3	-75.406
1.265	1	0	2	-117.181
1.265	3	0	3	-75.406
1.27	1	0	2	-117.181
1.27	3	0	3	-75.406
1.275	1	0	2	-117.181
1.275	3	0	3	-75.406
1.279	3	0	3	-75.406
1.28	1	0	2	-117.181
1.28	3	0	3	-75.406
1.285	1	0	2	-117.181
1.285	3	0	3	-75.406
1.29	1	0	2	-117.181
1.29	3	0	3	-75.406
1.295	1	0	2	-117.181
1.295	3	0	3	-75.406
1.3	1	0	2	-117.181
1.3	3	0	3	-75.406
1.305	1	0	2	-117.181
1.305	3	0	3	-75.406
1.31	1	0	2	-117.181
1.31	3	0	3	-75.406
1.315	1	0	2	-117.181
1.315	3	0	3	-75.406
1.32	1	0	2	-117.181
1.32	3	0	3	-75.406
1.325	1	0	2	-117.181
1.325	3	0	3	-75.406
1.33	1	0	2	-117.181
1.33	3	0	3	-75.406
1.335	1	0	2	-117.181
1.335	3	0	3	-75.406
1.336	1	0	2	-117.181
1.34	1	0	2	-117.181
1.34	3	0	3	-75.406
1.345	1	0	2	-117.181
1.345	3	0	3	-75.406
1.35	1	0	2	-117.181
1.35	3	0	3	-75.406
1.355	1	0	2	-117.181
1.355	3	0	3	-75.406
1.359	3	0	3	-75.406
1.36	1	0	2	-117.181
1.36	3	0	3	-75.406
1.365	1	0	2	-117.181
1.365	3	0	3	-75.406
1.37	1	0	2	-117.181
1.37	3	0	3	-75.406
1.375	1	0	2	-117.181
1.375	3	0	3	-75.406
1.38	1	0	2	-117.181
1.38	3	0	3	-75.406
1.385	1	0	2	-117.181
1.385	3	0	3	-75.406
1.39	1	0	2	-117.181
1.39	3	0	3	-75.406
1.395	1	0	2	-117.181
1.395	3	0	3	-75.406
1.4	1	0	2	-117.181
1.4	3	0	3	-75.406
1.405	1	0	2	-117.181
1.405	3	0	3	-75.406
1.41	1	0	2	-117.181
1.41	3	0	3	-75.406
1.415	1	0	2	-117.181
1.415	3	0	3	-75.406
1.416	1	0	2	-117.181
1.42	1	0	2	-117.181
1.42	3	0	3	-75.406
1.425	1	0	2	-117.181
1.425	3	0	3	-75.406
1.43	1	0	2	-117.181
1.43	3	0	3	-75.406
1.435	1	0	2	-117.181
