Time	CellId	RNTI	BWPId	SINR(dB)
42.9601	3	1	0	24.0017
42.9651	1	1	0	-18.1901
42.9651	3	1	0	24.0017
42.9701	1	1	0	-18.1901
42.9701	3	1	0	24.0017
42.9751	1	1	0	-18.1901
42.9751	3	1	0	24.0017
42.9801	1	1	0	-18.1901
42.9801	3	1	0	24.0017
42.9851	1	1	0	-18.1901
42.9851	3	1	0	24.0017
42.9901	1	1	0	-18.1901
42.9901	3	1	0	24.0017
42.9951	1	1	0	-18.1901
42.9951	3	1	0	24.0017
43.0001	1	1	0	-18.1901
43.0001	3	1	0	24.0017
43.0051	1	1	0	-18.1901
43.0051	3	1	0	24.0017
43.0101	1	1	0	-18.1901
43.0101	3	1	0	24.0017
43.0151	1	1	0	-18.1901
43.0151	3	1	0	24.0017
43.0161	1	1	0	8.91451
43.0201	1	1	0	-18.1901
43.0201	3	1	0	24.0017
43.0251	1	1	0	-18.1901
43.0251	3	1	0	24.0017
43.0301	1	1	0	-18.1901
43.0301	3	1	0	24.0017
43.0351	1	1	0	-18.1901
43.0351	3	1	0	24.0017
43.0391	3	1	0	61.6913
43.0401	1	1	0	-18.1901
43.0401	3	1	0	24.0017
43.0451	1	1	0	-18.1901
43.0451	3	1	0	24.0017
43.0501	1	1	0	-18.1901
43.0501	3	1	0	24.0017
43.0551	1	1	0	-18.1901
43.0551	3	1	0	24.0017
43.0601	1	1	0	-18.1901
43.0601	3	1	0	24.0017
43.0651	1	1	0	-18.1901
43.0651	3	1	0	24.0017
43.0701	1	1	0	-18.1901
43.0701	3	1	0	24.0017
43.0751	1	1	0	-18.1901
43.0751	3	1	0	24.0017
43.0801	1	1	0	-18.1901
43.0801	3	1	0	24.0017
43.0851	1	1	0	-18.1901
43.0851	3	1	0	24.0017
43.0901	1	1	0	-18.1901
43.0901	3	1	0	24.0017
43.0951	1	1	0	-18.1901
43.0951	3	1	0	24.0017
43.0961	1	1	0	8.91451
43.1001	1	1	0	-18.1901
43.1001	3	1	0	24.0017
43.1051	1	1	0	-18.1901
43.1051	3	1	0	24.0017
43.1101	1	1	0	-18.1901
43.1101	3	1	0	24.0017
43.1151	1	1	0	-18.1901
43.1151	3	1	0	24.0017
43.1191	3	1	0	61.6913
43.1201	1	1	0	-18.1901
43.1201	3	1	0	24.0017
43.1251	1	1	0	-18.1901
43.1251	3	1	0	24.0017
